dist,town,village,area,orientations,room,bedroom,living_room,washing_room,rent,lease_mode,label,elevator,parking,water,electricity,gas
香洲区,拱北,龙园海湾雅苑,47,南,11厅1卫,1,1,1,10000 ,整租,/精装/,无,租用车位,民水,民电,有
香洲区,夏湾,八一花园,37,东北,10厅1卫,1,0,1,10000 ,整租,/精装/随时看房/,无,免费车位,民水,民电,无
香洲区,唐家湾,万科红树东岸,48,南,11厅1卫,1,1,1,10000 ,整租,/精装/随时看房/,无,免费车位,商水,商电,有
香洲区,兰埔,格力香樟,47,南,10厅1卫,1,0,1,10000 ,整租,/精装/,无,租用车位,民水,民电,有
香洲区,吉大,诚丰星座,46,南,11厅1卫,1,1,1,9888 ,整租,/精装/,无,租用车位,民水,民电,有
香洲区,前山,心海州,50,南,11厅1卫,1,1,1,9840 ,整租,/精装/,无,租用车位,商水,商电,有
香洲区,拱北,国维中央广场,70,南,11厅1卫,1,1,1,9840 ,整租,/精装/随时看房/非居住房屋/,无,租用车位,商水,商电,无
香洲区,上冲,奥园商业广场,30,南,11厅1卫,1,1,1,9800 ,整租,/精装/,无,免费车位,民水,商电,有
香洲区,唐家湾,华发蔚蓝堡,75,南北,11厅1卫,1,1,1,9700 ,整租,/精装/,无,免费车位,商水,商电,有
香洲区,洪湾,龙光玖龙汇,37,西南,11厅1卫,1,1,1,9700 ,整租,/精装/非居住房屋/,无,免费车位,商水,商电,无
香洲区,洪湾,龙光玖龙汇,38,西南,11厅1卫,1,1,1,9660 ,整租,/精装/非居住房屋/,无,免费车位,商水,商电,无
香洲区,吉大,九洲假日,38,东南,10厅1卫,1,0,1,9660 ,整租,/精装/,无,免费车位,民水,民电,有
香洲区,吉大,诚丰银座,35,北,10厅1卫,1,0,1,9600 ,整租,/精装/,无,免费车位,民水,民电,有
香洲区,拱北,正邦岭秀城公寓楼,50,西南,11厅1卫,1,1,1,9600 ,整租,/精装/随时看房/,无,免费车位,民水,民电,有
香洲区,前山,前山新城,45,南,11厅1卫,1,1,1,9500 ,整租,/精装/动迁安置房/,无,租用车位,民水,民电,有
香洲区,吉大,诚丰银座,49,南,11厅1卫,1,1,1,9500 ,整租,/精装/,无,免费车位,民水,民电,有
香洲区,拱北,龙城花园,49.8,东,11厅1卫,1,1,1,9500 ,整租,/随时看房/,无,租用车位,民水,民电,无
香洲区,柠溪,名都大厦,37,东南,11厅1卫,1,1,1,9500 ,整租,/,无,租用车位,民水,民电,无
香洲区,吉大,九洲假日,39,南,10厅1卫,1,0,1,9500 ,整租,/精装/,无,租用车位,民水,民电,有
香洲区,南湾,中信红树湾二期,62.41,西,11厅1卫,1,1,1,9500 ,整租,/精装/随时看房/,无,免费车位,民水,民电,有
香洲区,夏湾,现代广场,105,西南,11厅1卫,1,1,1,9500 ,整租,/精装/,无,租用车位,商水,商电,无
香洲区,横琴,荔枝湾花园（南区）,27,东,10厅1卫,1,0,1,9500 ,整租,/,无,租用车位,民水,民电,有
香洲区,夏湾,现代广场,45,西南,11厅1卫,1,1,1,9500 ,整租,/,无,租用车位,商水,商电,无
香洲区,横琴,中冶盛世国际广场,50,南,10厅1卫,1,0,1,9500 ,整租,/精装/,无,免费车位,民水,民电,无
香洲区,横琴,铁建大厦,49,东,11厅1卫,1,1,1,9500 ,整租,/精装/,无,免费车位,民水,民电,有
香洲区,横琴,横琴金融传媒中心,78,南,11厅1卫,1,1,1,9500 ,整租,/精装/非居住房屋/,无,免费车位,商水,商电,有
香洲区,吉大,莱茵半岛,76,南,11厅1卫,1,1,1,9500 ,整租,/精装/随时看房/,无,免费车位,民水,民电,有
香洲区,南湾,华发新城四期,41,北,12厅1卫,1,2,1,9500 ,整租,/精装/,无,租用车位,民水,民电,有
香洲区,南湾,华发世纪城三期,52,西,11厅1卫,1,1,1,9500 ,整租,/精装/,无,免费车位,民水,民电,有
香洲区,横琴,横琴万象世界,45,北,10厅1卫,1,0,1,9500 ,整租,/精装/非居住房屋/,无,免费车位,商水,商电,无
香洲区,拱北,新市花园,56,东南,11厅1卫,1,1,1,9500 ,整租,/,无,租用车位,商水,商电,无
香洲区,拱北,隆福·晶都,30,南,11厅1卫,1,1,1,9500 ,整租,/精装/非居住房屋/,无,租用车位,商水,商电,无
香洲区,吉大,光大国际贸易中心,137.9,南,10厅0卫,1,0,0,9500 ,整租,/精装/,无,租用车位,商水,商电,无
香洲区,南湾,中信红树湾二期,78,东北,11厅1卫,1,1,1,9500 ,整租,/精装/随时看房/,无,租用车位,民水,民电,有
香洲区,吉大,诚丰星座,44,南,10厅1卫,1,0,1,9500 ,整租,/精装/,无,租用车位,民水,民电,有
香洲区,夏湾,中安广场,73.76,南,11厅1卫,1,1,1,9450 ,整租,/精装/非居住房屋/,无,租用车位,商水,商电,无
香洲区,唐家湾,首开龙湖天钜,38,东,11厅1卫,1,1,1,9351 ,整租,/精装/非居住房屋/,无,租用车位,商水,商电,有
香洲区,洪湾,利是达星际广场,62,南,11厅1卫,1,1,1,9232 ,整租,/精装/,无,租用车位,商水,民电,有
香洲区,吉大,万科石花66号,30,南,10厅1卫,1,0,1,9200 ,整租,/精装/非居住房屋/,无,租用车位,商水,商电,无
香洲区,洪湾,朗廷广场,40,东南,11厅1卫,1,1,1,9100 ,整租,/精装/非居住房屋/,无,租用车位,商水,商电,有
香洲区,洪湾,朗廷广场,40,南,10厅1卫,1,0,1,9100 ,整租,/精装/非居住房屋/,无,免费车位,商水,商电,有
香洲区,洪湾,朗廷广场,40,东南,10厅1卫,1,0,1,9000 ,整租,/月租/精装/非居住房屋/,无,免费车位,商水,商电,有
香洲区,洪湾,朗廷广场,40,北,10厅1卫,1,0,1,9000 ,整租,/月租/精装/非居住房屋/,无,免费车位,商水,商电,有
香洲区,洪湾,朗廷广场,40,东南,10厅1卫,1,0,1,9000 ,整租,/月租/精装/非居住房屋/,无,租用车位,商水,商电,有
香洲区,南湾,中信红树湾二期,43.5,西南,11厅1卫,1,1,1,9000 ,整租,/精装/,无,免费车位,民水,民电,有
香洲区,横琴,横琴国贸大厦,74,东,11厅1卫,1,1,1,9000 ,整租,/,无,租用车位,商水,商电,无
香洲区,横琴,保利国际广场,158,西北,10厅0卫,1,0,0,9000 ,整租,/精装/,无,租用车位,商水,商电,无
香洲区,吉大,新达城大厦,43.88,南,11厅1卫,1,1,1,9000 ,整租,/精装/,无,租用车位,商水,商电,无
香洲区,横琴,横琴金融传媒中心,50,北,10厅1卫,1,0,1,9000 ,整租,/精装/,无,租用车位,民水,民电,有
香洲区,吉大,将军花园,101.04,南,12厅1卫,1,2,1,9000 ,整租,/,无,租用车位,民水,民电,无
香洲区,横琴,横琴金融传媒中心,80,南,11厅1卫,1,1,1,9000 ,整租,/精装/,无,租用车位,民水,民电,有
香洲区,横琴,横琴金融传媒中心,82,南,11厅1卫,1,1,1,9000 ,整租,/精装/,无,租用车位,民水,民电,有
香洲区,上冲,奥园商业广场,97.72,北,11厅0卫,1,1,0,9000 ,整租,/非居住房屋/,无,租用车位,商水,商电,有
香洲区,洪湾,百家达,47,南,10厅1卫,1,0,1,9000 ,整租,/精装/非居住房屋/,无,租用车位,商水,商电,无
香洲区,横琴,保利国际广场,108.91,西,10厅0卫,1,0,0,9000 ,整租,/非居住房屋/,无,租用车位,商水,商电,无
香洲区,上冲,奥园商业广场,52.55,南,10厅0卫,1,0,0,9000 ,整租,/非居住房屋/,无,免费车位,商水,商电,有
香洲区,南湾,华发新城四期,41,西,11厅1卫,1,1,1,9000 ,整租,/精装/,无,免费车位,民水,民电,有
香洲区,南湾,华发新城六期,68,南,11厅1卫,1,1,1,9000 ,整租,/精装/,无,免费车位,民水,民电,有
香洲区,南湾,天朗海峰,79,东南,11厅1卫,1,1,1,9000 ,整租,/精装/,无,免费车位,民水,民电,有
香洲区,横琴,湾区一号,35,东南,11厅1卫,1,1,1,9000 ,整租,/精装/,无,免费车位,民水,民电,有
香洲区,横琴,保利国际广场,148,南,10厅0卫,1,0,0,9000 ,整租,/,无,免费车位,商水,商电,无
香洲区,横琴,富力中心,124,东北,10厅0卫,1,0,0,9000 ,整租,/非居住房屋/,无,免费车位,商水,商电,无
香洲区,洪湾,奥园观山海,45,南,11厅1卫,1,1,1,9000 ,整租,/精装/非居住房屋/,无,免费车位,商水,商电,无
香洲区,横琴,横琴金融传媒中心,48.5,东南,10厅1卫,1,0,1,9000 ,整租,/精装/,无,免费车位,民水,民电,有
香洲区,横琴,保利国际广场,126,南,10厅0卫,1,0,0,9000 ,整租,/精装/,无,免费车位,商水,商电,无
香洲区,洪湾,奥园观山海,46,西,11厅1卫,1,1,1,9000 ,整租,/精装/非居住房屋/,无,免费车位,商水,商电,无
香洲区,唐家湾,凤凰山一号,50,东,11厅1卫,1,1,1,9000 ,整租,/精装/,无,免费车位,商水,商电,有
香洲区,南湾,华发世纪城三期,52,北,12厅1卫,1,2,1,9000 ,整租,/精装/随时看房/,无,免费车位,民水,民电,有
香洲区,吉大,万科石花66号,32,南,10厅1卫,1,0,1,9000 ,整租,/精装/随时看房/非居住房屋/,无,免费车位,商水,商电,无
香洲区,拱北,正邦岭秀城,20.24,南,10厅0卫,1,0,0,9000 ,整租,/非居住房屋/,无,租用车位,商水,商电,无
香洲区,夏湾,宝珠新村,30,东南,11厅1卫,1,1,1,9000 ,整租,/,无,租用车位,商水,商电,无
香洲区,拱北,利腾金力湾商业中心,49,南,11厅1卫,1,1,1,9000 ,整租,/精装/非居住房屋/,无,租用车位,商水,商电,无
香洲区,横琴,横琴金融传媒中心,48,东,11厅1卫,1,1,1,9000 ,整租,/精装/,无,免费车位,民水,民电,有
香洲区,吉大,诚丰银座,45.34,南,11厅1卫,1,1,1,9000 ,整租,/,无,租用车位,民水,民电,有
香洲区,洪湾,奥园观山海,39,东西,11厅1卫,1,1,1,9000 ,整租,/非居住房屋/,无,租用车位,商水,商电,无
香洲区,横琴,湾区一号,36,南,11厅1卫,1,1,1,9000 ,整租,/精装/,无,免费车位,民水,民电,有
香洲区,洪湾,朗廷广场,40,南,11厅1卫,1,1,1,9000 ,整租,/非居住房屋/,无,租用车位,商水,商电,有
香洲区,洪湾,奥园观山海,39.42,东南南,11厅1卫,1,1,1,9000 ,整租,/精装/非居住房屋/,无,租用车位,商水,商电,无
香洲区,洪湾,奥园观山海,39.09,东南南,11厅1卫,1,1,1,9000 ,整租,/精装/非居住房屋/,无,租用车位,商水,商电,无
香洲区,洪湾,奥园观山海,39.1,东南南,11厅1卫,1,1,1,9000 ,整租,/精装/非居住房屋/,无,租用车位,商水,商电,无
香洲区,吉大,万科石花66号,36,南,11厅1卫,1,1,1,9000 ,整租,/精装/非居住房屋/,无,租用车位,商水,商电,无
香洲区,洪湾,奥园观山海,51.35,东南南,11厅1卫,1,1,1,9000 ,整租,/精装/非居住房屋/,无,租用车位,商水,商电,无
香洲区,洪湾,朗廷广场,40.78,南西南,11厅1卫,1,1,1,9000 ,整租,/精装/非居住房屋/,无,租用车位,商水,商电,有
香洲区,洪湾,朗廷广场,40.78,南西南,11厅1卫,1,1,1,9000 ,整租,/精装/非居住房屋/,无,租用车位,商水,商电,有
香洲区,洪湾,朗廷广场,40.78,南西南,11厅1卫,1,1,1,9000 ,整租,/精装/非居住房屋/,无,租用车位,商水,商电,有
香洲区,横琴,信德口岸商务中心,76,南,11厅1卫,1,1,1,9000 ,整租,/精装/,无,租用车位,商水,商电,有
香洲区,横琴,荔枝湾花园（北区）,27,西,11厅1卫,1,1,1,9000 ,整租,/精装/,无,租用车位,民水,民电,有
香洲区,洪湾,富力优派广场,42.16,南,11厅1卫,1,1,1,9000 ,整租,/精装/,无,租用车位,商水,商电,无
香洲区,横琴,横琴金融传媒中心,84,南,11厅1卫,1,1,1,9000 ,整租,/精装/,无,租用车位,民水,民电,有
香洲区,上冲,奥园商业广场,98,北,11厅1卫,1,1,1,9000 ,整租,/随时看房/非居住房屋/,无,租用车位,商水,商电,有
香洲区,夏湾,中安广场,75.7,北,11厅0卫,1,1,0,9000 ,整租,/精装/非居住房屋/,无,租用车位,商水,商电,无
香洲区,横琴,信德口岸商务中心,77,东南,11厅1卫,1,1,1,9000 ,整租,/精装/,无,租用车位,商水,商电,有
香洲区,兰埔,格力香樟,48,南,10厅1卫,1,0,1,9000 ,整租,/精装/随时看房/,无,租用车位,民水,民电,有
香洲区,横琴,横琴国贸大厦,105,西,11厅1卫,1,1,1,8990 ,整租,/精装/随时看房/,无,租用车位,商水,商电,无
香洲区,南湾,华发新城六期,41,西南,11厅1卫,1,1,1,8888 ,整租,/精装/,无,租用车位,民水,民电,有
香洲区,南湾,中信红树湾二期,70,西南,11厅1卫,1,1,1,8800 ,整租,/精装/,无,租用车位,民水,民电,有
香洲区,横琴,横琴金融传媒中心,39,北,10厅1卫,1,0,1,8800 ,整租,/精装/,无,租用车位,民水,民电,有
香洲区,吉大,海滨花园,40,南,11厅1卫,1,1,1,8800 ,整租,/精装/,无,免费车位,商水,商电,无
香洲区,横琴,三一南方总部大厦,42,南,11厅1卫,1,1,1,8800 ,整租,/精装/,无,免费车位,民水,民电,无
香洲区,横琴,保利国际广场,80,南,10厅1卫,1,0,1,8700 ,整租,/,无,免费车位,商水,商电,无
香洲区,横琴,横琴万象世界,45,南,11厅1卫,1,1,1,8700 ,整租,/精装/非居住房屋/,无,免费车位,商水,商电,无
香洲区,南湾,华发世纪城三期,52,北,11厅2卫,1,1,2,8700 ,整租,/新上/精装/双卫生间/,无,免费车位,民水,民电,有
香洲区,拱北,国维中央广场,42,东,10厅1卫,1,0,1,8600 ,整租,/新上/精装/非居住房屋/,无,免费车位,商水,商电,无
香洲区,拱北,拱北九州大厦,20,南,10厅1卫,1,0,1,8500 ,整租,/新上/精装/,无,免费车位,商水,商电,有
香洲区,横琴,横琴万象世界,45,西南,11厅1卫,1,1,1,8500 ,整租,/新上/精装/非居住房屋/,无,租用车位,商水,商电,无
香洲区,吉大,新光御景山花园,26,北,11厅1卫,1,1,1,8500 ,整租,/新上/精装/,无,租用车位,民水,民电,有
香洲区,夏湾,南湾花园一期,25,南,10厅1卫,1,0,1,8500 ,整租,/新上/精装/,无,租用车位,民水,民电,无
香洲区,拱北,正邦岭秀城公寓楼,39,东,10厅1卫,1,0,1,8500 ,整租,/新上/精装/随时看房/,无,租用车位,民水,民电,有
香洲区,南湾,华发世纪城三期,52.57,南,11厅1卫,1,1,1,8500 ,整租,/新上/精装/,无,租用车位,民水,民电,有
香洲区,拱北,龙城花园,33,东南,11厅1卫,1,1,1,8500 ,整租,/精装/随时看房/,无,免费车位,民水,民电,无
香洲区,新香洲,金域华府,36.63,东,11厅1卫,1,1,1,8500 ,整租,/精装/随时看房/,无,免费车位,民水,民电,有
香洲区,横琴,荔枝湾花园（南区）,27,西南,11厅1卫,1,1,1,8500 ,整租,/精装/,无,租用车位,民水,民电,有
香洲区,横琴,三一南方总部大厦,42,西南,11厅1卫,1,1,1,8500 ,整租,/精装/,无,租用车位,民水,民电,无
香洲区,拱北,金莎公馆,35,北,11厅1卫,1,1,1,8500 ,整租,/精装/,无,租用车位,民水,民电,无
香洲区,新香洲,龙光海悦云天,36,北,11厅1卫,1,1,1,8500 ,整租,/精装/,无,租用车位,民水,民电,有
香洲区,横琴,新兴际华财富广场,46.72,南,11厅1卫,1,1,1,8500 ,整租,/业主自荐/精装/随时看房/,无,租用车位,商水,商电,无
香洲区,吉大,新达城大厦,43,东南,10厅1卫,1,0,1,8500 ,整租,/精装/,无,租用车位,商水,商电,无
香洲区,南湾,中信红树湾二期,62,西南,11厅1卫,1,1,1,8500 ,整租,/精装/,无,租用车位,民水,民电,有
香洲区,横琴,保利国际广场,45,北,10厅0卫,1,0,0,8500 ,整租,/精装/随时看房/非居住房屋/,无,租用车位,商水,商电,无
香洲区,南湾,天朗海峰,63,南,10厅1卫,1,0,1,8500 ,整租,/,无,租用车位,民水,民电,有
香洲区,南屏,海印又一城,43,南,11厅1卫,1,1,1,8500 ,整租,/精装/,无,租用车位,商水,商电,有
香洲区,吉大,嘉年华国际公寓,45,东,10厅1卫,1,0,1,8500 ,整租,/精装/,无,租用车位,民水,民电,有
香洲区,上冲,华发城建未来荟,35,南,11厅1卫,1,1,1,8500 ,整租,/精装/,无,租用车位,民水,民电,有
香洲区,拱北,龙园海湾雅苑,35.36,北,11厅1卫,1,1,1,8500 ,整租,/精装/随时看房/,无,租用车位,民水,民电,有
香洲区,南湾,华发世纪城三期,52,西,11厅1卫,1,1,1,8500 ,整租,/精装/,无,租用车位,民水,民电,有
香洲区,吉大,诚丰银座,32.09,南,10厅1卫,1,0,1,8500 ,整租,/精装/,无,租用车位,民水,民电,有
香洲区,横琴,中冶盛世国际广场,58,东南,11厅1卫,1,1,1,8500 ,整租,/精装/,无,免费车位,民水,民电,无
香洲区,吉大,嘉年华国际公寓,55,东,11厅1卫,1,1,1,8500 ,整租,/精装/随时看房/,无,租用车位,民水,民电,有
香洲区,拱北,和华国际公寓,42,南,10厅1卫,1,0,1,8500 ,整租,/精装/,无,租用车位,民水,民电,有
香洲区,横琴,保利国际广场,43,南,11厅1卫,1,1,1,8500 ,整租,/精装/非居住房屋/,无,租用车位,商水,商电,无
香洲区,前山,华业香庄,36,南,11厅1卫,1,1,1,8500 ,整租,/精装/,无,租用车位,民水,民电,有
香洲区,横琴,保利国际广场,43,南,11厅1卫,1,1,1,8500 ,整租,/精装/非居住房屋/,无,租用车位,商水,商电,无
香洲区,夏湾,中安广场,60,南,11厅1卫,1,1,1,8500 ,整租,/精装/随时看房/非居住房屋/,无,租用车位,商水,商电,无
